,Date,Ethereum[USD],Bitcoin[USD]
0,2022-01-01 00:00:00,3683.7,46393.0
1,2022-01-01 01:00:00,3678.2,46196.9
2,2022-01-01 02:00:00,3722.62,46695.2
3,2022-01-01 03:00:00,3731.51,46828.2
4,2022-01-01 04:00:00,3730.53,46805.2
5,2022-01-01 05:00:00,3730.67,46873.8
6,2022-01-01 06:00:00,3715.62,46790.3
7,2022-01-01 07:00:00,3735.91,47273.0
8,2022-01-01 08:00:00,3718.95,47045.7
9,2022-01-01 09:00:00,3719.46,47236.1
10,2022-01-01 10:00:00,3728.54,47192.7
11,2022-01-01 11:00:00,3721.58,47115.4
12,2022-01-01 12:00:00,3701.91,46969.9
13,2022-01-01 13:00:00,3703.85,46833.2
14,2022-01-01 14:00:00,3716.86,47102.4
15,2022-01-01 15:00:00,3716.21,47072.3
16,2022-01-01 16:00:00,3704.03,46976.3
17,2022-01-01 17:00:00,3729.45,47254.3
18,2022-01-01 18:00:00,3735.48,47297.1
19,2022-01-01 19:00:00,3760.31,47779.5
20,2022-01-01 20:00:00,3754.13,47620.8
21,2022-01-01 21:00:00,3748.21,47389.8
22,2022-01-01 22:00:00,3763.22,47492.6
23,2022-01-01 23:00:00,3750.52,47379.2
24,2022-01-02 00:00:00,3760.22,47455.5
25,2022-01-02 01:00:00,3771.61,47786.0
26,2022-01-02 02:00:00,3767.83,47662.7
27,2022-01-02 03:00:00,3751.21,47413.3
28,2022-01-02 04:00:00,3751.71,47437.1
29,2022-01-02 05:00:00,3757.71,47364.7
30,2022-01-02 06:00:00,3725.86,46949.6
31,2022-01-02 07:00:00,3743.13,47087.1
32,2022-01-02 08:00:00,3745.47,47213.4
33,2022-01-02 09:00:00,3745.0,47207.2
34,2022-01-02 10:00:00,3742.33,47234.2
35,2022-01-02 11:00:00,3761.7,47365.4
36,2022-01-02 12:00:00,3749.49,47174.0
37,2022-01-02 13:00:00,3750.0,47285.8
38,2022-01-02 14:00:00,3756.55,47356.9
39,2022-01-02 15:00:00,3747.92,47167.8
40,2022-01-02 16:00:00,3753.55,47163.4
41,2022-01-02 17:00:00,3783.78,47369.3
42,2022-01-02 18:00:00,3840.26,47846.1
43,2022-01-02 19:00:00,3826.86,47447.9
44,2022-01-02 20:00:00,3796.71,47074.1
45,2022-01-02 21:00:00,3803.04,46986.9
46,2022-01-02 22:00:00,3808.43,47024.7
47,2022-01-02 23:00:00,3819.85,47106.7
48,2022-01-03 00:00:00,3829.09,47356.0
49,2022-01-03 01:00:00,3837.9,47351.7
50,2022-01-03 02:00:00,3813.56,47133.2
51,2022-01-03 03:00:00,3802.63,47114.4
52,2022-01-03 04:00:00,3800.84,46999.3
53,2022-01-03 05:00:00,3788.1,46859.7
54,2022-01-03 06:00:00,3797.05,46907.4
55,2022-01-03 07:00:00,3817.34,47157.3
56,2022-01-03 08:00:00,3803.98,47001.3
