,threshold,volume_invest,return,sharpe-ratio
0,0.04,50000,-0.026,-0.18
1,0.04,100000,-0.026,-0.18
2,0.04,250000,-0.026,-0.18
3,0.04,500000,-0.026,-0.18
4,0.04,750000,-0.026,-0.18
5,0.04,1000000,-0.026,-0.18
6,0.04,1500000,-0.026,-0.18
7,0.04,2500000,-0.026,-0.18
8,0.04,5000000,-0.026,-0.18
9,0.04,7500000,-0.026,-0.18
10,0.03,50000,-0.0313,-0.24
11,0.03,100000,-0.0313,-0.24
12,0.03,250000,-0.0312,-0.24
13,0.03,500000,-0.0313,-0.24
14,0.03,750000,-0.0313,-0.24
15,0.03,1000000,-0.0313,-0.24
16,0.03,1500000,-0.0313,-0.24
17,0.03,2500000,-0.0313,-0.24
18,0.03,5000000,-0.0313,-0.24
19,0.03,7500000,-0.0313,-0.24
20,0.02,50000,-0.0665,-0.52
21,0.02,100000,-0.0665,-0.52
22,0.02,250000,-0.0665,-0.52
23,0.02,500000,-0.0665,-0.52
24,0.02,750000,-0.0665,-0.52
25,0.02,1000000,-0.0665,-0.52
26,0.02,1500000,-0.0665,-0.52
27,0.02,2500000,-0.0665,-0.52
28,0.02,5000000,-0.0665,-0.52
29,0.02,7500000,-0.0665,-0.52
30,0.01,50000,-0.0714,-0.64
31,0.01,100000,-0.071,-0.64
32,0.01,250000,-0.071,-0.64
33,0.01,500000,-0.071,-0.64
34,0.01,750000,-0.071,-0.64
35,0.01,1000000,-0.071,-0.64
36,0.01,1500000,-0.071,-0.64
37,0.01,2500000,-0.071,-0.64
38,0.01,5000000,-0.071,-0.64
39,0.01,7500000,-0.071,-0.64
