,threshold,volume_invest,return,sharpe-ratio
0,0.04,50000,-0.3127,-0.77
1,0.04,100000,-0.3109,-0.76
2,0.04,250000,-0.3105,-0.76
3,0.04,500000,-0.3093,-0.76
4,0.04,750000,-0.3124,-0.76
5,0.04,1000000,-0.3093,-0.76
6,0.04,1500000,-0.3093,-0.76
7,0.04,2500000,-0.3095,-0.76
8,0.04,5000000,-0.3094,-0.76
9,0.04,7500000,-0.3094,-0.76
10,0.03,50000,-0.3159,-0.81
11,0.03,100000,-0.3134,-0.79
12,0.03,250000,-0.3124,-0.79
13,0.03,500000,-0.3119,-0.79
14,0.03,750000,-0.3117,-0.79
15,0.03,1000000,-0.3111,-0.79
16,0.03,1500000,-0.3111,-0.79
17,0.03,2500000,-0.3111,-0.79
18,0.03,5000000,-0.3112,-0.79
19,0.03,7500000,-0.3112,-0.79
20,0.02,50000,-0.3196,-0.84
21,0.02,100000,-0.3213,-0.85
22,0.02,250000,-0.3169,-0.84
23,0.02,500000,-0.3156,-0.83
24,0.02,750000,-0.3176,-0.84
25,0.02,1000000,-0.3162,-0.83
26,0.02,1500000,-0.3159,-0.83
27,0.02,2500000,-0.3166,-0.84
28,0.02,5000000,-0.3165,-0.84
29,0.02,7500000,-0.3164,-0.84
30,0.01,50000,-0.3353,-0.96
31,0.01,100000,-0.3349,-0.97
32,0.01,250000,-0.3293,-0.94
33,0.01,500000,-0.3292,-0.94
34,0.01,750000,-0.3292,-0.94
35,0.01,1000000,-0.3309,-0.95
36,0.01,1500000,-0.3302,-0.95
37,0.01,2500000,-0.3301,-0.95
38,0.01,5000000,-0.3297,-0.95
39,0.01,7500000,-0.33,-0.95
